#TYPE Selected.System.String
"ACKHosts";"HostName";"Status";"HostSiteName";"HostClusterName";"DeviceName"
"True";"RZ1_ESXiDMZSRV1";"online";"RZ_1";"VM_DMZ";"UTA-FLS92"
"True";"RZ1_ESXiSRV1";"online";"RZ_1";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ1_ESXiSRV2";"online";"RZ_1";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ1_ESXiSRV3";"online";"RZ_1";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ3_ESXiDMZSRV1";"online";"RZ_4";"VM_DMZ";"UTA-FLS92"
"True";"RZ3_ESXiSRV1";"online";"RZ_4";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ4_ESXiDMZSRV1";"online";"RZ_4";"VM_DMZ";"UTA-FLS92"
"True";"RZ4_ESXiSRV1";"online";"RZ_4";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ4_ESXiSRV2";"online";"RZ_4";"VM_PRODUCTION";"UTA-FLS92"
"True";"RZ4_ESXiSRV3";"online";"RZ_4";"VM_PRODUCTION";"UTA-FLS92"
"True";"CL-FILE-RZ1";"online";"RZ_1";"VM_CLFILE";"UTA-FLS92"
"True";"CL-FILE-RZ4";"online";"RZ_4";"VM_CLFILE";"UTA-FLS92"
"True";"RZ1-ESXiDMZSRV1_NVME";"online";;"";"UTA-FLS92"
"True";"vSQLCLN1_RZ1";"online";"RZ_1";"VM_CLSQL";"UTA-FLS92"
"True";"vSQLCLN2_RZ4";"online";"RZ_4";"VM_CLSQL";"UTA-FLS92"
