#TYPE Selected.System.String
"ACKHosts";"HostName";"Status";"HostSiteName";"HostClusterName";"DeviceName"
"True";"TESTUTA_121";"online";"RZ1";"TESTUTA01";"RZ1_FS9500_HS"
"True";"TESTUTA_21";"online";"RZ1";"TESTUTA01";"RZ1_FS9500_HS"
"True";"PRODUTA_11";"online";"RZ1";"PRODUTA01";"RZ1_FS9500_HS"
"True";"PRODUTA_111";"online";"RZ1";"PRODUTA01";"RZ1_FS9500_HS"
"True";"PRODUTA_113";"online";"RZ1";"PRODUTA00";"RZ1_FS9500_HS"
"True";"PRODUTA_13";"online";"RZ1";"PRODUTA00";"RZ1_FS9500_HS"
"True";"PRODUTA_171";"online";"RZ1";"PRODUTA02";"RZ1_FS9500_HS"
"True";"PRODUTA_173";"online";"RZ1";"PRODUTA03";"RZ1_FS9500_HS"
"True";"PRODUTA_71";"online";"RZ1";"PRODUTA02";"RZ1_FS9500_HS"
"True";"PRODUTA_73";"online";"RZ1";"PRODUTA03";"RZ1_FS9500_HS"
"True";"DWHUTA_161";"online";"RZ1";"DWHUTA01";"RZ1_FS9500_HS"
"True";"DWHUTA_61";"online";"RZ1";"DWHUTA01";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_41";"offline";;"PRODUTA_Backup00";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_141";"offline";;"PRODUTA_Backup00";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_143";"offline";;"PRODUTA_Backup01";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_193";"offline";;"PRODUTA_Backup03";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_191";"offline";;"PRODUTA_Backup02";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_43";"offline";;"PRODUTA_Backup01";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_91";"offline";;"PRODUTA_Backup02";"RZ1_FS9500_HS"
"False";"PRODUTA_Backup_93";"offline";;"PRODUTA_Backup03";"RZ1_FS9500_HS"
"False";"DWHUTA_Backup_151";"offline";;"DWHUTA_Backup00";"RZ1_FS9500_HS"
"False";"DWHUTA_Backup_51";"offline";;"DWHUTA_Backup00";"RZ1_FS9500_HS"
"True";"TESTUTA_123";"online";"RZ1";"TESTUTA00";"RZ1_FS9500_HS"
"True";"TESTUTA_23";"online";"RZ1";"TESTUTA00";"RZ1_FS9500_HS"
"True";"DWHUTA_63";"online";"RZ1";"DWHUTA00";"RZ1_FS9500_HS"
"True";"DWHUTA_163";"online";"RZ1";"DWHUTA00";"RZ1_FS9500_HS"
"False";"DWHUTA_Backup_153";"offline";;"DWHUTA_Backup01";"RZ1_FS9500_HS"
"False";"DWHUTA_Backup_53";"offline";;"DWHUTA_Backup01";"RZ1_FS9500_HS"
"True";"TapeSec2";"online";"RZ1";"TapeSec2_HostGroup";"RZ1_FS9500_HS"
"False";"TapeSec2L";"offline";"RZ4";"TapeSec2_HostGroup";"RZ1_FS9500_HS"
