#TYPE Selected.System.String
"ACKHosts";"HostName";"Status";"HostSiteName";"HostClusterName";"DeviceName"
"True";"PRODUTA_Mimix_11";"degraded";;"PRODUTA_MiMiX01";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Mimix_111";"online";;"PRODUTA_MiMiX01";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Mimix_113";"online";;"PRODUTA_MiMiX02";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Mimix_13";"online";;"PRODUTA_MiMiX02";"RZ4_FS9500_MIMIX"
"True";"DWHUTA_Mimix_161";"online";;"DWHUTA_Mimix";"RZ4_FS9500_MIMIX"
"True";"DWHUTA_Mimix_61";"online";;"DWHUTA_Mimix";"RZ4_FS9500_MIMIX"
"True";"TapeSec1";"online";;"TapeSec1_HostGroup";"RZ4_FS9500_MIMIX"
"True";"TapeSec1L";"offline";;"TapeSec1_HostGroup";"RZ4_FS9500_MIMIX"
"True";"DWHUTA_Flash_181";"degraded";;"DWHUTA_Flash";"RZ4_FS9500_MIMIX"
"True";"DWHUTA_Flash_81";"degraded";;"DWHUTA_Flash";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Flash_171";"online";;"PRODUTA_Flash01";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Flash_173";"online";;"PRODUTA_Flash02";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Flash_71";"online";;"PRODUTA_Flash01";"RZ4_FS9500_MIMIX"
"True";"PRODUTA_Flash_73";"online";;"PRODUTA_Flash02";"RZ4_FS9500_MIMIX"
